"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Haiti,1.546,1.702,1.77,1.9,2.105,2.337,2.597,1.279,0.841,0.778,0.99,0.888,0.533,0.642,1.772,2.812,2.902,3.336,3.719,4.148,3.952,3.57,3.475,2.984,3.538,4.312,4.749,5.885,6.55,6.585,6.619,7.517,7.89,8.453,8.775,8.724,7.976,8.409,9.658,8.819,8.709,9.072,9.445,9.822,10.214
Honduras,3.508,3.855,3.97,4.207,4.538,4.976,5.207,5.678,6.324,7.065,4.169,4.195,4.675,4.794,4.693,5.415,5.217,5.736,6.366,6.417,7.104,7.566,7.775,8.14,8.772,9.672,10.842,12.275,13.79,14.486,15.73,17.649,18.529,18.499,19.757,20.98,21.718,23.101,23.803,24.449,25.314,26.356,27.561,28.875,30.304
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.644,248.484,262.601,275.673,291.438,309.359,320.877,341.718,362.721,372.989,385.274,402.464,421.507,442.219,464.976
Hungary,23.038,23.626,24.06,21.836,21.17,21.438,24.694,27.14,29.699,30.319,34.361,34.749,38.725,40.119,43.16,46.419,46.66,47.29,48.77,49.17,47.311,53.821,67.717,85.325,104.067,113.035,115.295,139.851,157.998,130.594,130.923,140.782,127.857,135.221,140.083,123.074,126.045,139.844,161.182,170.407,180.498,192.239,201.487,211.566,222.13
Iceland,3.434,3.544,3.253,2.795,2.894,3.012,4.017,5.566,6.149,5.705,6.51,6.955,7.112,6.232,6.399,7.131,7.48,7.581,8.494,8.972,9.004,8.205,9.295,11.414,13.835,16.813,17.216,21.515,17.905,13.165,13.684,15.159,14.724,16.034,17.758,17.389,20.618,24.457,25.965,23.918,24.237,24.744,25.268,26.115,27.123
India,189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,300.187,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.841,476.636,493.934,523.768,618.369,721.589,834.218,949.118,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2289.754,2652.245,2718.732,2935.57,3202.183,3509.654,3847.967,4223.843,4631.761
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.292,1022.454,1111.713,1204.83,1297.175,1390.183,1489.693,1596.011
Iran,93.531,101.451,127.557,155.942,160.074,179.718,208.782,276.875,318.601,379.167,575.265,302.498,49.423,65.03,82.405,115.703,157.347,185.727,208.928,277.095,365.946,334.323,129.778,152.973,186.857,228.18,270.333,351.769,406.212,410.557,482.384,577.214,389.199,396.408,423.409,375.404,404.445,430.709,446.105,458.5,463.077,476.369,496.411,525.422,573.541
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.722,175.151,195.473,224.228,224.462,232.745,242.586,254.801,268.191,283.309
Ireland,21.418,20.416,21.305,20.611,19.877,21.161,28.506,33.648,36.862,38.017,48.183,48.823,54.892,51.346,55.823,69.236,75.902,82.929,90.189,98.829,100.139,109.208,128.459,164.601,194.137,211.849,232.309,270.293,276.108,236.961,222.498,237.64,224.938,238.296,258.528,291.281,300.308,335.211,382.754,384.94,402.05,424.247,447.754,471.666,497.73
Israel,23.809,25.228,27.037,30.153,28.546,26.531,32.662,39.012,48.326,49.171,58.022,65.818,73.547,73.919,84.379,100.239,109.857,114.624,115.862,117.011,132.243,130.673,121.042,126.808,135.343,142.411,153.982,178.744,215.96,207.45,233.733,261.717,257.18,292.636,309.558,299.813,318.951,353.253,370.588,387.717,410.501,433.165,457.448,483.878,511.646
Italy,482.721,437.76,432.633,448.958,443.573,458.065,648.765,814.268,902.144,938.273,1170.996,1236.942,1312.572,1055.479,1088.653,1171.401,1309.287,1240.398,1267.952,1250.226,1145.108,1163.332,1271.649,1572.721,1800.804,1854.377,1944.365,2206.116,2400.232,2191.442,2128.87,2278.871,2074.017,2131.129,2155.154,1833.196,1869.954,1950.703,2075.856,1988.636,2013.67,2070.106,2125.928,2182.541,2246.02
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.516,5.529,6.543,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.211,13.864,14.152,14.108,14.773,15.461,15.702,16.474,17.082,17.813,18.619,19.503
Japan,1105.386,1218.989,1134.518,1243.324,1318.382,1398.893,2078.953,2532.809,3071.684,3054.914,3132.817,3584.42,3908.808,4454.144,4907.039,5449.118,4833.714,4414.734,4032.511,4562.079,4887.52,4303.542,4115.116,4445.659,4815.169,4755.411,4530.377,4515.263,5037.909,5231.383,5700.099,6157.458,6203.212,5155.716,4850.414,4389.476,4926.668,4859.788,4971.767,5154.475,5413.054,5592.333,5796.033,6019.234,6259.581
Jordan,3.908,4.388,4.684,4.922,4.972,5.001,6.404,6.751,6.324,4.252,4.161,4.345,5.369,5.532,6.197,6.65,6.928,7.246,7.912,8.149,8.461,8.975,9.582,10.196,11.411,12.589,15.057,17.111,21.963,23.82,26.425,28.986,31.418,34.115,36.382,37.97,39.253,40.766,42.291,44.172,46.363,48.758,51.376,54.24,57.264
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,162.887,172.941,170.326,182.623,196.871,213.339,236.572,258.459
Kenya,10.099,9.513,9.159,8.47,8.788,8.746,10.387,11.387,11.806,11.705,12.18,11.501,11.327,7.869,9.422,11.944,13.565,13.742,15.739,14.353,14.136,14.536,14.764,16.796,18.064,21.001,25.826,31.958,35.895,37.022,40,41.672,50.422,55.125,61.547,64.236,69.19,78.689,87.928,98.607,109.128,119.545,131.369,144.686,158.835
Kiribati,0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.186,0.189,0.184,0.192,0.201,0.21,0.22,0.23
"Korea, Republic of",67.139,74.831,80.356,89.915,99.806,103.603,119.374,150.987,203.506,251.616,288.625,336.55,361.676,399.132,470.736,574.598,617.96,576.019,386.671,501.365,576.179,547.656,627.247,702.715,793.176,934.901,1053.217,1172.614,1047.339,943.672,1144.067,1253.223,1278.428,1370.795,1484.318,1465.773,1500.479,1623.901,1720.489,1629.532,1626.553,1702.137,1789.961,1884.063,1988.109
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.092,2.509,2.691,3.348,3.621,3.738,3.918,4.743,5.71,5.67,5.841,6.7,6.504,7.074,7.398,6.444,6.717,7.243,7.947,7.996,8.402,8.972,9.585,10.228,10.947
Kuwait,28.724,25.249,21.583,20.317,21.457,21.54,17.376,20.817,19.281,23.855,18.293,10.826,19.866,23.996,24.796,27.189,31.492,30.35,25.944,30.123,37.721,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.381,119.533,141.646,137.591,139.57,143.423,148.617,155.261,163.211
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.093,8.261,8.715,9.218,9.822,10.344,10.893
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266,14.363,15.916,17.069,18.12,19.127,21.211,23.084,25.107,27.299,29.672
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.694,2.728,4.532,5.41,5.97,6.527,7.178,7.534,7.941,8.351,9.553,11.753,14.377,16.949,21.466,30.946,35.763,26.238,23.798,28.496,28.141,30.26,31.385,26.986,27.707,30.528,34.882,35.045,36.771,39.107,41.456,43.838,46.439
Lebanon,4.018,3.84,2.619,3.609,4.266,3.563,2.778,3.252,3.267,2.68,2.799,4.39,5.468,7.43,8.982,10.963,12.816,15.525,17.048,17.162,17.007,17.349,18.825,19.473,21.146,21.49,22.049,24.873,29.228,35.477,38.42,40.076,44.231,46.867,48.296,49.974,51.239,53.394,56.372,58.565,60.455,63.139,66.12,69.608,73.008
Lesotho,0.47,0.477,0.397,0.436,0.391,0.312,0.359,0.468,0.531,0.552,0.666,0.756,0.877,0.876,0.923,1.038,0.983,1.036,0.955,0.937,0.911,0.754,0.825,1.193,1.488,1.596,1.634,1.891,1.755,2.074,2.525,2.779,2.655,2.506,2.635,2.326,2.423,2.677,2.713,2.741,2.8,2.974,3.18,3.317,3.458
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.874,0.906,0.927,0.748,0.897,0.949,1.119,1.373,1.726,1.768,1.998,2.398,2.721,3.065,3.137,3.163,3.277,3.284,3.248,3.222,3.231,3.279,3.451,3.513,3.725
Libya,38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.194,18.539,30.557,40.951,33.018,34.076,35.003,36.415,38.093,39.968
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.698,8.385,10.121,11.241,10.973,11.539,12.253,14.275,18.803,22.647,26.143,30.235,39.804,48.083,37.527,37.187,43.526,42.873,46.431,48.594,41.538,42.991,47.645,53.302,53.641,56.225,59.493,62.718,65.924,69.418
Luxembourg,6.46,5.571,4.575,4.491,4.403,4.562,6.638,8.244,9.339,9.944,12.68,13.738,15.39,15.778,17.558,20.655,20.547,18.503,19.341,21.174,21.326,21.291,23.712,29.615,34.733,37.382,42.452,50.959,56.072,51.518,53.308,60.073,56.71,61.758,66.209,57.233,58.985,62.449,69.553,69.453,72.994,76.823,80.851,85.042,89.541
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.811,7.323,8.195,10.586,12.092,14.79,18.341,20.917,21.475,28.124,36.708,43.032,51.552,55.348,45.362,45.322,50.559,54.545,55.136,55.377,56.275,57.79,59.437,61.342
Madagascar,4.042,3.595,3.526,3.512,2.939,2.858,3.258,2.566,2.442,2.498,3.081,2.677,3.001,3.371,2.977,3.16,3.995,3.546,3.738,3.721,3.878,4.53,4.397,5.474,4.364,5.039,5.516,7.343,9.413,8.55,8.73,9.893,9.92,10.602,10.674,9.703,10.126,11.464,12.09,12.55,13.647,14.765,15.901,17.132,18.457
Malawi,2.146,2.146,2.046,2.121,2.095,1.962,2.048,2.013,2.314,2.639,2.999,3.821,3.12,3.591,2.081,2.423,3.956,4.619,3.036,3.08,3.023,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.23,6.901,7.522,8.05,8.539,9.115,9.77,10.477
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.236,53.514,64.424,72.858,81.121,96.75,109.839,109.098,78.609,86.203,102.149,101.054,109.834,120.025,135.869,150.352,170.472,202.8,242.035,211.882,258.647,302.194,318.91,327.869,342.868,301.355,301.255,318.955,358.579,365.303,381.523,409.533,438.681,470.158,505.157
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.402,4.858,5.328,5.786,6.283,6.795,7.348,7.937,8.539
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.837,10.221,10.698,12.993,12.45,13.243,14.369,13.106,14.016,15.37,17.18,17.647,19.02,20.439,21.984,23.624,25.229
Malta,1.197,1.169,1.105,1.078,1.021,1.034,1.342,1.675,1.901,1.991,2.391,2.601,2.895,2.579,2.856,3.367,3.433,3.475,3.682,3.842,4.059,4.068,4.474,5.422,6.049,6.402,6.79,7.944,9.013,8.553,8.756,9.508,9.215,10.154,11.306,10.717,11.449,12.764,14.56,14.859,15.787,16.879,17.968,19.055,20.209
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.11,0.109,0.112,0.117,0.127,0.129,0.133,0.14,0.147,0.154,0.155,0.155,0.168,0.176,0.187,0.192,0.185,0.181,0.198,0.208,0.214,0.22,0.228,0.236,0.243,0.249,0.255
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.213,1.39,1.464,1.25,1.316,1.415,1.443,1.402,1.371,1.406,1.294,1.296,1.324,1.563,1.831,2.184,3.11,3.343,3.978,3.671,4.344,5.18,5.226,5.724,5.391,4.831,4.686,4.925,5.237,5.651,5.918,6.28,6.92,7.48,8.063
Mauritius,1.225,1.163,1.116,1.182,1.094,1.107,1.495,1.893,2.196,2.256,2.706,2.977,3.352,3.455,3.835,4.38,4.529,4.253,4.296,4.536,4.869,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.259,14.21,14.391,14.851,15.801,16.864,17.891,18.94
Mexico,228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,1052.697,1109.987,900.047,1057.801,1180.487,1201.094,1274.444,1314.569,1170.567,1077.906,1156.953,1222.053,1274.175,1322.489,1380.722,1442.297,1508.486,1579.378
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.326,0.316,0.318,0.315,0.331,0.363,0.372,0.381,0.391,0.402,0.413,0.423,0.434
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.036,1.333,1.39,1.73,2.033,2.314,2.036,1.406,1.578,1.777,1.995,2.377,3.118,3.587,4.091,5.282,7.267,6.526,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.67,11.309,11.688,12.281,12.975,13.725,14.512,15.376
Mongolia,3.188,3.336,3.463,3.59,3.316,3.851,4.25,4.776,4.797,4.997,3.131,3.297,1.831,0.901,1.083,1.697,1.576,1.381,1.315,1.236,1.329,1.485,1.634,1.864,2.319,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.426,13.009,13.637,14.674,15.81,17.017,18.136,19.228
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.966,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.457,5.424,5.685,5.993,6.337,6.707,7.09
Morocco,21.998,17.86,18.028,16.296,14.904,15.043,19.864,21.911,25.947,26.706,30.18,32.286,33.712,31.656,35.605,39.029,43.162,39.147,41.806,41.632,38.859,39.46,42.238,52.064,59.626,62.343,68.641,79.041,92.507,92.897,93.217,101.371,98.266,106.826,110.081,101.179,103.346,109.709,118.534,119.04,124.539,132.769,141.575,151.027,161.282
Mozambique,5.479,4.256,4.348,3.894,4.056,5.362,6.293,2.843,2.499,2.611,4.19,3.264,2.238,2.319,2.509,2.572,3.468,4.11,4.718,5.167,4.667,4.567,4.977,5.549,6.749,7.595,8.304,9.466,11.555,11.243,10.457,13.131,15.178,16.013,16.872,14.798,10.897,12.586,14.396,15.093,16.695,17.879,19.032,21.277,24.228
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.799,7.095,9.073,8.532,7.652,9.378,11.752,13.184,14.268,17.66,25.1,31.729,39.779,54.119,58.467,60.539,63.273,63.225,60.452,61.386,68.668,65.994,72.105,78.827,86.023,93.833,102.485
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.605,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.724,12.796,11.769,11.283,13.562,14.513,14.368,14.943,15.634,16.524,17.593,18.548
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.032,0.031,0.029,0.023,0.037,0.044,0.047,0.066,0.097,0.099,0.105,0.087,0.1,0.11,0.112,0.108,0.111,0.114,0.118,0.122,0.127
Nepal,1.98,2.315,2.34,2.56,2.708,2.812,3.06,3.175,3.743,3.784,3.894,4.261,3.872,4.158,4.344,4.716,4.861,5.284,5.253,5.404,5.731,5.891,5.976,6.328,7.274,8.18,9.044,10.325,12.545,12.855,16.002,19.011,18.852,19.27,19.995,21.411,21.186,25.181,29.04,29.813,33.917,37.255,40.711,44.273,48.052
Netherlands,193.742,162.386,157.324,153.166,142.566,144.642,201.581,246.907,264.201,260.508,321.376,331.068,365.971,355.901,382.517,452.71,450.625,417.329,438.61,447.493,417.664,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.519,902.355,930.99,970.522,1009.881,1050.234,1095.998
New Zealand,22.52,23.439,23.205,22.453,22.347,22.508,27.39,36.927,45.442,44.062,45.774,43.446,41.525,44.797,52.873,62.214,69.063,68.889,56.779,58.849,54.139,53.106,62.046,82.47,101.581,113.204,109.763,134.946,135.531,121.757,145.31,167.113,175.06,186.98,199.756,175.404,185.058,200.47,203.127,204.671,216.199,229.683,243.668,257.21,272.058
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.844,13.118,12.528,12.331,12.28,12.309,12.422,12.646
Niger,2.509,2.171,2.018,1.803,1.461,1.44,1.904,2.233,2.28,2.18,2.48,2.328,2.345,2.221,1.563,1.756,1.88,1.733,1.98,1.916,1.671,1.815,2.072,2.645,2.9,3.374,3.65,4.29,5.429,5.411,5.729,6.415,6.946,7.67,8.243,7.255,7.61,8.136,9.299,9.443,10.347,11.214,12.805,13.915,15.245
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.965,568.496,493.841,405.442,376.361,398.186,446.543,494.83,550.07,613.394,683.205,762.016
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.659,9.751,10.824,11.378,10.067,10.686,11.308,12.67,12.672,13.333,14.176,15.054,15.979,17.007
Norway,64.439,63.597,62.647,61.628,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.578,127.132,152.031,163.52,161.357,154.163,162.285,171.246,173.973,195.525,228.858,264.51,308.884,345.58,400.939,462.25,386.188,428.757,498.283,509.506,522.762,498.41,385.802,368.827,398.394,434.167,417.627,422.06,432.969,443.836,455.729,469.044
Oman,6.342,7.719,8.1,8.491,9.358,10.395,8.229,8.628,8.386,9.372,11.686,11.341,12.452,12.494,12.919,13.803,15.277,15.837,13.997,15.593,19.507,19.452,20.143,21.634,24.764,31.082,37.216,42.085,60.905,48.388,57.048,68.017,76.616,78.784,81.077,68.919,65.481,70.598,79.277,76.609,78.657,81.9,84.051,87.024,90.555
Pakistan,30.938,36.599,40.012,37.369,40.572,40.565,41.543,43.437,50.107,52.256,52.426,59.556,63.727,67.442,67.998,79.451,82.968,81.806,81.49,82.514,79.705,77.931,77.937,89.727,105.612,118.481,137.229,152.362,170.853,167.875,177.166,213.588,224.384,231.218,244.361,270.556,278.655,304.567,314.588,284.214,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.146,0.157,0.163,0.154,0.165,0.184,0.189,0.195,0.198,0.183,0.183,0.193,0.211,0.223,0.243,0.28,0.3,0.286,0.284,0.291,0.302,0.314,0.327,0.34,0.354
Panama,4.104,4.645,5.132,5.269,5.5,5.818,6.046,6.073,5.25,5.264,5.723,6.292,7.153,7.812,8.33,8.515,10.04,10.849,11.762,12.326,12.502,12.704,13.204,13.915,15.255,16.638,18.438,21.296,25.156,27.117,29.44,34.686,40.43,45.6,49.921,54.092,57.958,62.284,65.055,68.536,73.369,78.888,84.891,91.351,98.303
Papua New Guinea,4.183,4.105,3.894,3.888,3.591,3.326,3.618,3.976,5.526,5.36,4.869,5.726,6.617,7.521,8.265,7.316,7.786,7.442,5.688,5.191,5.289,4.637,4.607,5.617,6.313,7.355,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.331,23.185,23.587,23.935,24.394,25.124,26.039,27.045
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.577,22.347,27.239,33.716,33.283,38.585,40.277,36.164,36.054,39.009,41.854,40.714,42.826,46.181,49.3,52.576,55.698
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.754,121.493,148.931,170.983,192.882,202.091,202.308,191.316,194.387,214.187,225.366,228.989,240.175,253.443,267.694,282.816,298.838
Philippines,36.045,39.595,41.254,36.891,34.857,33.995,33.174,36.871,42.082,47.291,49.095,50.32,58.695,60.237,71.003,82.121,91.792,91.234,72.207,82.995,81.023,76.262,81.358,83.908,91.371,103.074,122.211,149.36,173.603,168.485,199.591,224.143,250.092,271.836,284.585,292.774,304.898,313.62,330.91,356.814,383.482,415.24,455.368,499.607,548.048
Poland,56.619,53.647,65.187,75.406,75.507,70.775,73.677,63.714,68.612,66.895,62.084,80.451,88.713,90.366,103.683,139.089,156.684,157.183,172.05,167.799,171.276,190.43,198.679,217.514,255.284,306.145,344.759,429.473,533.8,440.14,479.161,528.571,500.846,524.399,545.284,477.568,471.843,526.749,585.816,565.854,606.73,645.416,685.942,729.835,777.244
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.654,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,240.901,236.408,243.229,252.996,262.862,272.89,283.774
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,104.25,101.131,99.913,100.169,100.342,100.624,101.043,101.52
Qatar,7.829,8.661,7.597,6.468,6.704,6.272,4.95,5.216,5.004,5.288,7.36,6.884,7.646,7.157,7.374,8.138,9.059,11.298,10.255,12.393,17.76,17.538,19.364,23.534,31.734,44.53,60.882,79.712,115.27,97.798,125.122,167.775,186.834,198.728,206.225,161.74,151.732,166.929,191.362,191.849,195.225,200.74,209.759,219.569,232.103
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.281,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.225,183.443,171.196,190.948,199.628,177.895,188.495,211.407,239.552,243.698,261.868,281.062,301.666,322.862,345.161
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1045.455,856.322,91.76,197.634,297.287,336.492,420.386,434.32,290.996,210.17,278.496,328.853,370.537,461.562,633.914,819.071,1061.692,1393.695,1781.518,1307.56,1635.717,2047.715,2189.094,2292.464,2058.31,1356.836,1280.521,1579.293,1657.29,1637.892,1657.539,1714.313,1782.057,1858.609,1940.442
Rwanda,1.259,1.429,1.525,1.629,1.56,1.853,2.1,2.331,2.495,2.605,2.491,1.837,1.95,1.881,1.195,1.239,1.343,1.808,1.931,1.797,1.718,1.676,1.673,1.847,2.099,2.59,3.192,3.876,4.927,5.45,5.85,6.647,7.43,7.623,8.01,8.294,8.475,9.14,9.51,10.209,11.061,12.028,13.155,14.42,15.807
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.433,0.455,0.478,0.467,0.505,0.545,0.644,0.689,0.751,0.748,0.76,0.818,0.801,0.84,0.832,0.852,0.897,0.942,0.98,1.032,1.087,1.14,1.192,1.249,1.309
Saint Lucia,0.152,0.174,0.164,0.176,0.225,0.254,0.304,0.336,0.384,0.435,0.518,0.549,0.603,0.613,0.638,0.682,0.706,0.721,0.785,0.825,0.834,0.798,0.805,0.883,0.954,1.016,1.135,1.281,1.287,1.279,1.4,1.446,1.44,1.484,1.559,1.659,1.702,1.817,1.922,1.992,2.103,2.211,2.309,2.39,2.475
