"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,124.139,102.792,90.44,85.492,81.672,84.92,117.689,146.189,158.943,160.672,201.22,206.469,229.957,219.891,239.9,289.844,281.449,255.132,260.952,260.548,238.602,238.049,259.91,319.628,371.399,387.725,410.178,472.476,520.687,485.947,484.416,527.607,498.172,521.083,531.652,456.17,469.867,495.953,532.268,517.609,529.554,547.87,566.382,586.031,608.113
Belize,0.172,0.179,0.179,0.189,0.211,0.209,0.228,0.267,0.315,0.363,0.412,0.445,0.518,0.56,0.581,0.62,0.641,0.654,0.689,0.732,0.832,0.872,0.933,0.99,1.058,1.114,1.217,1.291,1.369,1.335,1.397,1.487,1.564,1.608,1.693,1.763,1.807,1.863,1.925,2.001,2.076,2.155,2.235,2.319,2.358
Benin,2.302,1.557,1.542,1.365,1.456,1.58,2.036,2.43,2.552,2.37,2.89,2.954,3.284,3.199,2.227,2.993,3.251,3.124,3.362,3.681,3.522,3.666,4.191,5.348,6.187,6.571,7.034,8.17,9.787,9.728,9.543,10.691,11.148,12.518,13.288,11.389,11.818,12.697,14.269,14.374,15.478,17.054,18.732,20.546,22.561
Bhutan,0.127,0.137,0.144,0.156,0.161,0.167,0.189,0.229,0.262,0.261,0.281,0.244,0.238,0.249,0.253,0.296,0.311,0.348,0.382,0.401,0.436,0.455,0.504,0.575,0.67,0.762,0.858,1.02,1.291,1.214,1.433,1.737,1.814,1.849,1.83,2.028,2.121,2.362,2.582,2.842,2.981,3.246,3.509,3.816,4.132
Bolivia,3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.343,5.643,5.734,5.97,6.702,7.375,7.917,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,40.581,42.401,45.253,48.655,52.567,56.899,61.954
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.584,4.578,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.081,20.162,20.106,21.023,22.077,23.214,24.456,25.882
Botswana,1.175,1.038,1.095,1.21,1.201,1.118,1.516,2.376,3.084,3.444,3.803,3.806,3.932,3.961,4.261,4.732,4.881,5.024,4.819,5.485,5.803,5.514,5.456,7.539,8.966,10.013,10.175,10.941,11.028,10.272,12.794,15.393,16.11,14.915,16.259,14.445,15.658,17.383,18.615,18.69,19.66,20.857,21.575,22.335,23.111
Brazil,145.767,167.523,179.102,143.601,142.906,226.858,263.163,286.438,319.991,439.278,455.173,399.108,382.329,429.032,546.57,786.536,850.415,884.308,865.115,599.867,655.435,559.962,509.358,557.68,668.432,890.671,1106.368,1396.105,1694.86,1667.666,2207.602,2613.979,2464.377,2471.529,2456.111,1799.882,1795.365,2052.807,1867.818,1847.02,1893.01,1987.816,2084.295,2188.892,2296.031
Brunei Darussalam,no data,no data,no data,no data,no data,4.434,2.704,3.105,2.955,3.314,3.908,4.109,4.646,4.558,4.537,5.255,5.679,5.769,4.496,5.106,6.662,6.218,6.487,7.279,8.739,10.581,12.736,13.576,16.005,11.892,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128,13.568,12.455,12.812,13.096,13.511,13.903,14.328
Bulgaria,24.974,26.937,28.094,28.87,30.668,26.258,23.239,26.938,44.022,44.835,19.768,1.937,7.861,4.266,7.5,12.564,9.491,10.024,13.227,13.501,13.153,14.076,16.277,20.984,25.958,29.636,34.131,44.41,54.408,51.885,50.611,57.42,53.901,55.557,56.815,50.201,53.236,58.342,65.197,66.25,70.126,74.895,79.665,84.587,89.964
