"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Gambia, The",1007.791,907.551,827.984,800.7,552.842,645.904,484.263,623.605,695.347,701.786,790.827,801.579,830.589,840.415,804.334,815.289,826.192,818.814,815.332,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,712.512,755.046,795.704,826.666,859.43,887.082,912.803
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,167.791,402.195,669.835,796.051,840.862,668.265,742.658,797.114,850.804,1006.45,1301.716,1636.703,1992.091,2626.832,3325.488,2811.925,3062.853,3825.156,4237.928,4340.711,4441.774,3759.598,3856.067,4046.89,4346.147,4289.322,4626.405,5034.789,5462.651,5858.927,6277.161
Germany,11109.741,9329.591,9014.978,9025.206,8537.765,8678.853,12387.01,15411.529,16514.654,16232.121,20249.138,23453.063,26538.043,25602.802,27233.549,31829.512,30664.299,27170.83,27528.158,26984.243,23924.729,23869.773,25460.334,30668.849,34534.602,35020.197,36894.468,42299.862,46367.859,42338.713,42379.578,46697.376,43883.257,46299.084,48035.802,41159.938,42115.596,44333.806,47662.493,46563.989,47992.322,50149.308,52164.595,54248.578,56527.748
Ghana,3570.67,5637.601,6416.766,4218.387,1409.55,1223.252,1106.498,906.973,941.727,935.957,1056.152,1154.351,1114.474,883.34,792.675,914.587,948.53,945.088,1001.88,1011.726,606.32,630.327,714.156,858.791,970.464,1147.602,1315.805,1516.054,1677.368,1462.796,1745.539,2123.648,2184.39,2389.773,1962.658,1753.851,1941.46,2037.953,2216.838,2223.423,2266.413,2385.775,2472.873,2574.195,2681.524
Greece,5948.312,5422.695,5623.925,5050.595,4895.517,4832.492,5670.974,6577.878,7632.639,7879.212,9679.318,10282.862,11234.158,10451.746,11122.873,12997.524,13776.698,13484.135,13526.691,13901.672,12268.253,12577.02,14171.836,18530.221,22007.85,22624.066,24857.207,28899.948,32198.014,29819.229,26972.873,25896.934,22171.911,21805.257,21726.89,18114.716,18110.873,18897.637,20317.18,19974.374,20845.315,21739.018,22607.116,23429.54,24335.708
Grenada,1246.003,1276.906,1347.451,1373.168,1478.411,1678.863,1873.217,2163.51,2410.287,2759.682,2888.348,3118.149,3191.017,3151.541,3270.578,3413.022,3640.139,3878.391,4401.422,4751.576,5117.591,5109.962,5292.234,5773.075,5836.177,6754.514,6766.481,7324.206,7947.444,7395.05,7365.657,7410.475,7583.181,7956.062,8569.917,9333.266,9892.569,10439.928,10939.291,11381.378,11848.121,12349.248,12947.075,13574.83,14203.419
Guatemala,1014.948,1081.263,1067.959,1081.019,1102.926,1269.503,669.266,755.753,798.248,897.807,767.058,916.058,991.381,1052.61,1165.427,1279.143,1335.423,1479.006,1570.72,1448.276,1475.207,1568.379,1701.769,1753.339,1872.738,2077.835,2256.559,2489.954,2794.24,2635.744,2825.507,3187.836,3299.603,3452.83,3687.749,3923.561,4140.717,4469.456,4545.085,4616.853,4807.546,5047.63,5279.749,5525.899,5872.654
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,616.328,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,631.291,540.562,637.791,712.982,729.798,712.047,679.947,794.6,910.063,981.016,1030.708,1087.278,1138.484,1188.818,1241.661
Guinea-Bissau,218.699,273.941,305.168,337.149,229.638,330.465,316.017,262.605,239.877,282.621,337.82,465.072,498.383,376.258,414.591,428.799,399.43,371.27,329.053,347.752,304.679,311.973,329.097,375.224,409.263,442.427,436.726,502.822,612.615,572.184,582.498,736.846,649.04,671.127,662.383,643.916,708.391,793.768,822.005,786.292,830.209,876.874,928.053,984.471,1046.65
Guyana,731.337,700.795,600.588,611.657,571.511,613.492,699.377,651.957,836.085,849.276,700.563,749.247,831.952,1014.879,1194.662,1361.457,1534.002,1620.923,1537.31,1492.182,1515.388,1515.528,1560.63,1605.179,1686.735,1767.39,1960.284,2333.857,2570.324,2697.151,3000.383,3408.191,3775.148,3925.996,4028.331,4168.479,4531.241,4635.611,4984.099,5252.047,10249.383,10990.134,13501.739,17635.827,19404.505
Haiti,260.453,281.633,287.754,303.4,330.237,360.211,393.132,190.252,123.631,112.003,139.691,123.002,72.415,85.493,230.976,359.584,364.247,411.182,450.319,493.549,462.251,410.673,393.362,332.428,387.978,465.468,504.756,615.793,674.925,668.332,661.853,740.934,766.861,810.414,830.033,814.456,735.213,765.598,868.763,784.08,765.413,788.389,811.877,835.235,859.563
Honduras,955.245,1017.061,1015.87,1044.197,1092.448,1161.912,1180.452,1249.579,1351.365,1467.024,841.245,822.636,890.906,887.891,845.179,948.431,889.059,951.362,1028.088,1009.365,1088.783,1130.406,1132.872,1157.306,1217.655,1311.741,1437.626,1592.571,1751.597,1802.875,1919.472,2113.277,2178.415,2136.742,2242.712,2341.277,2382.608,2491.474,2523.8,2548.458,2593.926,2655.026,2729.426,2811.14,2900.352
Hong Kong SAR,5664.005,5953.184,6096.008,5551.001,6127.277,6444.906,7328.419,8980.83,10453.711,11928.483,13280.622,15190.414,17586.418,19925.115,22038.531,22908.926,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32422.056,34951.031,36619.811,38230.066,40182.28,42321.712,43496.299,46096.479,48450.607,49334.347,50460.39,52407.802,54571.088,56922.353,59506.474
Hungary,2151.154,2206.805,2249.656,2046.101,1989.614,2022.666,2338.458,2582.471,2838.147,2909.278,3311.854,3349.754,3732.903,3870.507,4169.964,4490.561,4520.861,4590.835,4744.21,4795.711,4628.314,5276.6,6655.221,8413.014,10286.309,11193.837,11441.421,13893.381,15729.058,13019.039,13073.96,14097.944,12873.202,13646.269,14182.698,12487.225,12822.512,14272.746,16484.19,17463.284,18535.147,19781.27,20775.318,21859.122,22997.511
Iceland,15133.103,15454.708,14008.881,11865.27,12139.43,12517.151,16585.858,22795.638,24840.125,22646.588,25651.419,27183.019,27383.229,23749.384,24142.695,26711.55,27914.45,28090.812,31184.566,32539.786,32265.459,28957.269,32433.603,39567.447,47612.444,57267.863,57408.956,69928.197,56759.305,41220.967,43080.596,47600.734,46073.943,49815.679,54527.563,52838.356,62004.698,72283.286,74515.472,67037.34,66601.877,66799.307,67088.523,68212.938,69699.219
India,276.35,280.764,284.468,303.761,288.563,311.426,324.248,356.246,368.341,361.454,385.378,318.104,332.497,315.42,362.366,391.249,418.63,434.709,432.225,462.218,462.978,471.701,491.989,571.555,656.517,747.335,837.46,1076.835,1048.735,1153.188,1422.929,1497.746,1481.562,1485.595,1610.355,1639.69,1761.626,2014.013,2037.692,2171.643,2338.115,2529.343,2737.149,2965.506,3209.673
Indonesia,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3884.718,3870.562,4163.755,4464.572,4755.703,5042.548,5346.098,5666.801
Iran,2380.477,2484.973,3007.012,3537.949,3495.221,3776.613,4222.513,5465.15,6137.679,7128.938,10556.089,5417.511,872.336,1131.193,1412.712,1954.868,2620.047,3041.22,3364.215,4387.747,5698.409,5119.721,1957.433,2272.5,2734.027,3288.366,3834.729,4929.064,5621.054,5608.976,6504.869,7680.859,5118.474,5152.037,5395.791,4723.476,5026.648,5289.795,5416.525,5506.229,5503.083,5604.661,5785.159,6062.618,6552.325
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5047.118,4842.546,5263.209,5881.517,5738.449,5799.425,5891.456,6031.312,6187.37,6370.533
Ireland,6250.062,5884.348,6076.058,5837.828,5589.891,5932.512,7990.407,9416.274,10361.727,10750.925,13640.108,13743.478,15326.633,14257.904,15450.05,19080.248,20774.261,22460.9,24171.271,26190.456,26156.577,28084.4,32470.373,40933.105,47353.779,50442.102,53765.863,60810.756,61143.036,52114.141,48708.634,51834.311,48848.48,51461.983,55390.222,61791.03,62938.224,69462.898,78334.865,77771.205,80264.835,83899.176,87714.561,91529.491,95678.404
Israel,6074.51,6390.571,6728.222,7347.643,6867.309,6271.234,7602.204,8934.32,10886.15,10888.824,12457.359,13306.312,14354.758,14055.775,15641.496,18088.167,19334.859,19682.853,19416.227,19127.555,21038.051,20302.391,18433.046,18963.273,19885.354,20559.211,21836.337,24907.918,29557.068,27726.359,30670.34,33713.121,32524.753,36325.04,37695.563,35791.221,37332.944,40558.533,41728.191,42823.307,44474.065,46033.387,47685.679,49477.744,51318.091
Italy,8560.633,7750.799,7653.955,7937.298,7841.815,8094.688,11462.724,14387.755,15936.292,16562.867,20654.537,21798.596,23119.691,18575.43,19152.126,20607.138,23032.907,21808.664,22282.156,21968.814,20116.608,20423.421,22310.073,27495.043,31250.425,31936.387,33341.607,37685.466,40658.138,36862.393,35655.106,38011.624,34470.42,35219.329,35456.715,30153.431,30823.988,32195.433,34320.754,32946.524,33431.25,34439.778,35442.54,36465.684,37611.567
Jamaica,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2280.661,2266.075,2657.668,2975.134,3347.367,3467.544,3473.435,3510.575,3529.711,3700.053,3562.456,3816.905,4187.91,4430.505,4756.273,5054.564,4435.269,4812.255,5232.302,5332.494,5104.904,4953.222,5029.073,4986.453,5193.489,5406.366,5460.984,5698.628,5877.319,6095.839,6337.75,6602.792
Japan,9466.402,10363.516,9577.94,10424.374,10981.923,11580.2,17118.391,20755.509,25065.131,24830.994,25379.595,28923.312,31429.621,35698.906,39219.812,43441.33,38450.955,35034.538,31915.735,36039.077,38535.586,33850.883,32300.666,34831.196,37696.723,37223.77,35463.873,35342.476,39453.494,41014.185,44673.608,48168.804,48632.903,40490.155,38156.33,34568.925,38804.858,38342.735,39303.958,40846.777,43043.422,44637.427,46453.574,48460.64,50637
Jordan,1645.769,1783.024,1829.808,1845.105,1788.172,1726.937,2126.684,2158.264,1944.317,1252.55,1168.512,1157.624,1353.052,1320.375,1409.786,1454.165,1468.995,1499.555,1605.609,1624.979,1657.911,1728.164,1812.292,1889.218,2061.461,2203.088,2537.302,2762.815,3384.153,3492.099,3679.19,3826.552,3930.945,4054.771,4129.994,4145.481,4151.16,4201.656,4270.172,4386.605,4541.55,4724.432,4937.459,5178.6,5433.592
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,168.645,304.849,751.98,1061.475,1358.804,1459.418,1480.094,1132.124,1230.491,1491.653,1657.155,2062.289,2862.502,3753.441,5261.026,6733.45,8349.287,7116.371,9005.039,11552.574,12300.184,13789.172,12713.564,10435.17,7662.006,8970.88,9401.205,9139.109,9672.002,10291.499,11007.941,12048.584,12992.77
Kenya,641.654,582.63,541.284,484.062,485.688,467.396,536.791,569.04,570.524,546.95,552.681,506.802,484.699,326.994,380.183,468.002,516.168,507.78,564.736,500.113,479.303,479.603,473.995,524.743,549.163,621.283,743.439,895.226,978.454,982.003,1038.953,1054.979,1238.875,1318.788,1431.319,1453.296,1522.285,1683.946,1830.588,1997.549,2151.504,2294.238,2454.603,2632.602,2814.865
Kiribati,720.463,739.991,656.088,630.233,675.191,500.804,479.561,530.358,652.243,630.112,594.756,645.746,646.914,623.58,716.416,721.087,847.061,839.086,805.03,832.622,802.478,732.872,824.831,1016.381,1128.371,1212.132,1166.435,1376.275,1456.908,1332.071,1518.57,1741.139,1798.255,1731.38,1655.862,1556.496,1598.885,1641.565,1640.677,1574.695,1614.096,1658.454,1703.724,1752.855,1807.164
"Korea, Republic of",1761.075,1932.459,2043.312,2252.918,2470.084,2538.938,2896.457,3627.607,4841.779,5927.473,6732.678,7773.299,8267.269,9031.23,10544.806,12742.515,13574.173,12534.794,8353.862,10755.059,12257.019,11561.207,13165.083,14672.808,16496.134,19402.503,21743.477,24086.411,21350.43,19138.383,23087.226,25096.263,25466.758,27182.736,29249.576,28732.233,29296.047,31577.347,33319.988,31430.598,31246.041,32565.534,34107.06,35754.694,37576.368
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1421.34,1704.514,1781.057,2178.609,2220.737,2264.209,2340.247,2792.69,3320.602,3244.921,3290.463,3764.217,3582.014,3885.729,4098.923,3637.435,3766.222,4027.266,4432.559,4442.363,4649.327,4944.81,5261.461,5592.005,5961.589
Kuwait,20966.177,17631.854,14417.541,12973.988,13410.421,12670.687,9653.473,10956.483,9640.407,11359.505,8588.145,7960.513,13989.932,16213.488,13549.775,13871.989,15068.13,13740.681,11424.919,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41657.444,45726.188,44754.341,40278.045,27398.083,25267.146,26863.331,30969.438,29266.981,28882.721,28874.951,29109.219,29585.761,30257.042
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.471,1189.517,1295.225,1292.621,1132.843,1131.841,1254.51,1293.461,1292.977,1337.268,1385.178,1445.561,1492.421,1539.102
Lao P.D.R.,596.195,341.872,334.404,596.411,831.389,1017.412,691.925,473.878,300.081,360.325,414.26,474.15,528.182,578.466,654.368,741.536,753.989,696.053,259.296,270.225,323.04,324.75,335.686,405.111,467.758,530.059,669.723,800.103,983.764,1045.888,1200.87,1412.035,1581.897,1830.51,1997.986,2130.628,2324.937,2454.874,2565.984,2670.205,2919.074,3131.702,3357.821,3599.166,3856.492
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,632.908,1022.24,1724.98,2163.462,2417.455,2669.569,2965.155,3140.33,3334.323,3548.505,4116.125,5111.495,6315.403,7533.788,9635.172,14010.237,16316.827,12131.328,11223.022,13735.616,13762.164,14951.88,15680.89,13587.687,14071.74,15654.432,18032.617,18171.651,19104.841,20359.185,21625.019,22913.647,24321.46
Lebanon,1575.556,1517.329,1038.758,1431.393,1692.11,1397.479,1073.331,1242.792,1235.084,1002.248,1035.462,1594.75,1937.9,2561.286,3019.671,3614.217,4173.208,5019.859,5474.552,5436.75,5256.615,5163.658,5343.647,5260.892,5473.481,5390.208,5434.252,6086.795,7109.513,8480.989,8858.284,8734.189,8996.561,8882.804,8619.257,8540.387,8530.362,8778.472,9251.207,9654.805,10042.777,10598.524,11254.034,12037.096,12830.131
Lesotho,366.604,362.633,294.238,315.39,287.56,224.453,251.604,313.97,346.852,350.492,411.213,460.132,513.336,500.558,517.009,552.965,527.61,555.911,511.821,501.76,487.528,403.301,441.119,637.051,794.361,851.046,870.724,1001.122,922.427,1082.998,1309.59,1431.874,1358.874,1273.884,1330.37,1166.543,1207.208,1324.834,1333.428,1338.522,1357.777,1424.872,1505.419,1551.568,1598.287
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,329.508,329.222,329.274,260.968,307.058,316.487,360.524,424.942,512.351,504.518,550.36,640.709,707.708,777.479,777.021,764.411,772.393,754.663,727.8,703.826,688.281,681.558,699.714,694.964,719.202
Libya,13031.83,10762.563,10247.108,9371.005,8411.48,8319.667,6524.775,5815.611,5795.806,5881.526,7193.535,7776.953,7703.526,6780.858,6192.591,6882.208,7372.447,7424.949,5980.039,7067.876,7388.136,6485.16,3833.574,4831.424,5988.392,8467.716,9659.637,11711.138,12570.871,8524.772,11417.422,5402.251,12693.637,8282.151,3876.411,2719.954,2903.741,4738.592,6287.652,5019.581,5129.186,5216.502,5373.264,5565.271,5781.451
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1845.673,2328.215,2830.751,3166.964,3113.638,3297.451,3530.201,4146.106,5505.586,6706.027,7868.552,9246.551,12318.372,15034.241,11864.818,12006.36,14374.021,14349.443,15698.48,16571.429,14299.103,14988.574,16845.325,18994.384,19266.788,20354.997,21708.616,23066.814,24437.919,25936.956
Luxembourg,17738.531,15251.808,12514.668,12284.381,12032.97,12444.143,18022.939,22239.519,24976.565,26333.472,33201.25,35490.115,39219.739,39643.49,43482.858,50911.117,49920.89,44382.169,45821.99,49541.716,49183.213,48498.772,53399.666,66061.086,76343.821,81048.34,90499.207,107014.412,115898.454,104393.176,106177.041,117366.282,108050.229,114996.475,120449.499,101665.022,102360.222,105725.448,115536.206,113196.487,116727.211,120536.833,124467.08,128454.284,132701.612
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15611.341,16622.642,18346.564,22881.103,24969.752,28805.634,34084.156,38086.666,39615.339,50921.113,65867.576,73937.747,84859.859,86997.503,70132.996,70278.052,77414.524,81728.228,81151.929,80065.2,79926.001,80625.73,81457.035,82582.301
Madagascar,462.133,400.155,382.414,371.103,302.587,286.317,317.449,242.877,224.537,222.92,266.876,225.006,244.673,266.592,228.295,234.888,287.765,247.437,252.756,243.816,246.283,278.987,262.742,317.421,245.67,275.516,292.991,379.066,472.38,417.177,414.145,456.329,444.958,462.46,452.81,400.348,406.411,447.569,459.257,463.869,490.906,517.049,542.152,568.86,597.009
Malawi,326.983,318.032,295.582,298.052,284.324,254.768,251.755,232.783,251.93,272.96,298.716,371.869,300.049,343.226,197.546,227.197,363.682,414.359,264.97,261.557,250.462,240.396,272.824,245.144,259.727,267.785,284.729,306.9,358.416,405.62,442.765,493.843,359.588,317.471,343.979,353.507,294.755,325.01,349.938,370.747,385.677,397.619,412.6,429.866,448.037
Malaysia,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2585.824,2885.306,3378.721,3716.952,4027.509,4678.024,5175.556,5011.56,3519.766,3762.769,4347.73,4189.057,4441.847,4740.316,5244.874,5678.597,6353.414,7483.409,8769.395,7545.112,9047.202,10398.236,10806.84,10851.664,11165.259,9663.111,9523.295,9960.323,11072.387,11136.812,11484.505,12172.162,12875.417,13629.33,14468.317
Maldives,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.127,2107.605,2553.949,2658.803,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.781,6128.46,7337.931,7450.777,8086.665,8078.262,8719.534,9766.148,10787.471,11781.094,12447.185,13510.169,14571.305,15562.505,16620.422,17677.991,18802.687,19974.121,21134.106
Mali,286.454,234.094,202.86,191.973,187.769,185.354,252.941,290.075,287.083,345.585,387.839,387.973,389.751,379.108,282.773,356.81,355.7,325.445,329.005,331.779,277.839,316.234,345.813,404.925,454.12,504.44,539.607,616.723,719.334,722.924,732.402,861.874,801.102,827.335,872.028,772.639,802.399,854.149,926.542,924.178,967.139,1008.989,1053.556,1099.137,1139.61
Malta,3796.748,3677.235,3453.664,3249.768,3101.996,3113.707,3937.745,4878.641,5501.109,5705.594,6784.68,7186.488,7913.691,6981.791,7653.977,8943.296,9071.562,9111.743,9583.837,9944.329,10440.479,10391.869,11337.664,13648.264,15126.472,15899.493,16765.532,19584.633,22099.29,20813.35,21148.916,22911.838,22070.032,24032.629,26328.801,24373.194,25419.81,27730.109,30608.498,30650.168,32019.43,33762.214,35583.941,37473.924,39545.452
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2185.537,2199.801,2148.98,2195.083,2309.828,2546.271,2576.426,2630.462,2740.614,2849.332,2978.24,2958.77,2962.443,3180.495,3302.319,3497.434,3590.891,3444.55,3363.371,3652.923,3822.156,3878.666,3924.826,4001.132,4072.081,4122.223,4168.317,4198.339
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.102,677.983,694.818,576.823,590.49,617.47,611.881,578.045,549.551,547.431,489.512,476.237,472.953,542.357,617.684,716.665,1053.059,1100.946,1275.402,1146.234,1322.344,1537.255,1513.097,1618.217,1488.788,1303.457,1235.172,1268.876,1319.265,1392.463,1426.842,1481.055,1596.567,1688.41,1780.566
Mauritius,1268.107,1186.583,1124.4,1179.733,1080.41,1085.141,1454.116,1827.431,2104.548,2146.046,2555.86,2781.631,3091.412,3148.796,3446.307,3902.222,3993.479,3703.632,3701.865,3859.149,4102.593,4026.943,4196.429,5005.417,5626.004,5516.198,5695.975,6574.664,8030.052,7318.126,8000.376,9197.043,9291.236,9637.016,10151.727,9258.563,9681.416,10485.014,11228.114,11360.673,11720.621,12472.831,13314.446,14127.597,14957.299
Mexico,3295.891,4135.806,2934.847,2341.273,2703.332,2810.06,1906.82,2050.329,2459.992,2940.086,3335.464,3927.96,4479.321,5467.155,5672.01,3810.928,4286.479,5148.07,5346.19,6019.94,7016.24,7409.68,7465.916,6964.629,7383.023,8189.161,8997.269,9588.507,9973.021,7975.422,9258.198,10204.512,10261.045,10764.334,10980.985,9673.643,8815.535,9366.655,9796.976,10118.167,10405.789,10767.497,11150.183,11563.558,12007.789
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2094.48,2060.874,1944.21,2054.62,2061.643,2179.424,2257.322,2277.946,2311.653,2268.897,2370.444,2413.778,2457.377,2531.364,2710.27,2885.869,3032.447,3192.666,3095.855,3112.864,3080.327,3241.255,3548.96,3634.178,3717.999,3815.815,3916.649,4014.52,4114.837,4217.66
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,280.954,362.191,377.365,470.121,554.34,633.014,557.897,385.906,434,489.91,551.248,658.922,866.001,999.052,1142.31,1478.475,2036.943,1831.31,1959.627,2364.735,2446.303,2669.23,2675.043,2174.329,2273.158,2726.536,3190.832,3300.09,3470.194,3668.934,3883.749,4109.528,4357.173
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1506.243,1548.554,844.161,411.791,489.98,756.761,692.473,598.398,562.12,520.775,553.097,610.325,662.699,747.092,919.767,989.177,1321.606,1616.138,2109.269,1687.55,2602.373,3702.359,4281.33,4293.834,4081.015,3842.536,3576.817,3595.38,4017.223,4132.66,4363.904,4614.25,4873.857,5097.626,5303.683
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1577.088,1870.95,2064.151,2734.633,3371.996,3676.891,4431.307,5984.695,7397.037,6746.441,6693.865,7327.253,6590.58,7189.048,7389.894,6517.42,7031.531,7800.27,8762.676,8703.933,9115.788,9604.438,10149.111,10733.825,11339.717
Morocco,1132.089,895.782,881.181,778.036,695.127,685.329,884.05,952.577,1102.828,1109.286,1248.809,1310.61,1343.358,1239.049,1369.643,1479.276,1612.853,1442.425,1519.174,1492.184,1373.92,1376.532,1453.941,1768.603,1999.125,2063.312,2242.729,2549.881,2946.926,2922.586,2896.564,3111.538,2979.738,3200.479,3259.721,2964.961,2996.652,3147.847,3365.517,3345.029,3464.022,3656.243,3860.786,4079.375,4315.805
Mozambique,451.28,342.18,341.542,299.724,307.289,401.962,469.97,212.602,187.194,194.93,308.821,234.917,155.95,155.688,162.39,160.966,210.628,242.999,271.933,290.316,255.35,243.134,257.603,279.204,330.198,361.492,382,423.366,502.5,475.416,429.948,524.891,589.818,604.999,619.907,528.934,379.004,426.091,474.508,484.405,521.831,544.285,564.38,614.671,681.947
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,128.036,154.663,195.621,182.31,162.283,197.611,246.159,274.473,295.172,362.973,512.417,643.149,800.245,1080,1156.903,1187.524,1230.527,1219.478,1156.891,1166.04,1299.732,1244.725,1350.833,1467.307,1591.54,1726.124,1875.225
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2027.87,2109.532,2034.92,2070.995,1922.824,2100.279,2197.585,2126.349,2143.726,1837.305,1874.47,2139.706,1939.787,1811.249,2607.864,3440.966,3708.785,4007.733,4378.564,4198.55,4340.183,5410.977,5870.933,6038.862,5793.927,5717.763,5160.201,4854.145,5725.182,6012.733,5842.061,5963.026,6122.634,6350.886,6635.704,6865.731
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3174.961,3167.648,3200.72,2470.84,3965.355,4587.75,4748.078,6529.397,9382.641,9103.519,8865.599,6994.054,7674.477,8152.257,8562.25,8270.263,8369.123,8439.984,8552.779,8729.975,8913.32
Nepal,131.802,150.625,148.732,158.983,164.329,166.829,177.522,180.139,207.729,205.175,205.989,219.595,194.2,202.946,206.434,218.561,220.04,233.955,227.839,229.842,239.365,241.952,241.688,252.299,286.157,317.736,346.945,391.344,470.452,478.173,592.369,703.044,698.466,715.89,743.099,792.553,777.148,911.444,1033.912,1047.739,1176.582,1275.688,1376.053,1477.144,1582.534
Netherlands,13749.31,11428.728,11012.591,10681.336,9904.112,10007.163,13873.948,16893.909,17954.59,17595.644,21579.624,22055.824,24189.797,23354.307,24933.395,29350.802,29084.068,26808.388,28018.706,28393.845,26327.867,26996.172,29401.976,35814.268,40477.3,42054.884,44936.006,51880.384,58015.396,52807.447,51165.823,54342.114,50175.559,52276.986,53026.478,45302.804,46165.177,48799.874,53228.27,52367.849,53873.37,55998.947,58102.277,60250.663,62696.241
New Zealand,7203.517,7458.186,7326.447,7022.034,6919.016,6901.934,8323.398,11122.524,13561.987,13015.523,13363.054,12356.539,11689.968,12451.143,14492.628,16784.071,18356.512,18115.847,14827.975,15280.988,13978.23,13560.579,15552.302,20304.755,24689.819,27206.073,26077.523,31784.19,31663.804,28105.807,33222.09,37985.398,39553.552,41775.712,43858.149,37743.237,38982.502,41381.805,41204.706,40634.137,42084.399,43901.149,45801.061,47614.929,49547.28
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.199,935.34,947.14,940.143,973.071,999.413,1030.74,1054.66,1011.904,1010.231,1077.784,1152.801,1224.724,1326.658,1498.88,1444.941,1506.073,1629.968,1734.794,1790.431,1916.77,2036.931,2099.585,2165.169,2030.5,1919.166,1869.615,1842.629,1828.003,1825.761,1839.442
Niger,432.97,362.349,325.466,281.095,220.241,210.158,269.043,305.773,302.67,280.438,309.293,281.077,273.816,250.602,170.454,185.046,191.327,170.262,187.796,175.257,147.441,154.438,169.947,209.086,220.93,247.669,258.056,292.106,355.962,341.543,347.985,374.823,390.331,414.516,428.442,362.717,366.058,376.623,414.328,405.095,427.445,446.238,490.903,514.091,542.902
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,652.915,615.663,521.905,553.126,760.992,1224.938,1560.382,1655.818,1802.587,481.951,554.64,583.187,730.836,780.399,963.236,1221.651,1563.031,1791.823,2197.776,1927.476,2328.425,2543.504,2756.411,2998.06,3222.677,2726.34,2180.266,1971.788,2032.857,2222.006,2400.454,2602.021,2830,3074.98,3346.387
