"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barbados,4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.01,16925.611,17254.227,16036.404,16203.257,16599.012,16371.952,16556.104,16572.311,16589.45,16947.632,17423.251,17758.083,18069.384,18486.766,19156.7,19913.303,20703.371,21521.657
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1210.104,1076.142,1481.461,1000.204,1375.754,1341.854,1452.41,1165.601,1277.052,1247.469,1480.153,1811.855,2370.274,3115.513,3838.293,4726.479,6366.189,5345.325,6023.149,6472.739,6938.067,7977.147,8316.012,5941.24,5022.472,5757.286,6283.479,6603.92,6744.238,6823.123,6986.478,7159.078,7289.031
Belgium,12596.432,10421.61,9177.46,8672.346,8288.99,8614.531,11937.381,14819.379,16094.351,16184.35,20227.662,20673.831,22945.228,21839.937,23750.957,28610.841,27747.949,25086.126,25602.963,25509.498,23303.102,23193.959,25210.221,30864.479,35723.702,37117.573,39022.286,44638.329,48813.537,45191.403,44688.196,47961.502,44978.075,46784.339,47550.233,40594.388,41540.274,43689.621,46695.986,45175.585,45979.691,47324.51,48671.139,50099.749,51719.338
Belize,1148.111,1193.646,1170.803,1200.667,1304.267,1258.664,1332.602,1518.633,1759.218,1976.865,2179.95,2291.929,2603.278,2729.91,2751.794,2863.58,2888.603,2845.15,2888.405,3013.08,3330.955,3388.367,3516.41,3618.466,3743.261,3818.446,4040.716,4143.093,4249.069,4135.734,4316.256,4475.07,4588.804,4599.123,4742.917,4811.578,4806.073,4828.354,4862.047,4925.18,4978.34,5036.697,5090.838,5146.625,5099.767
Benin,633.148,413.922,397.573,340.867,352.495,370.342,462.434,535.192,544.339,491.147,580.414,573.656,615.86,579.433,389.725,506.863,533.492,497.342,519.561,552.37,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.317,1125.303,1087.577,1037.381,1130.077,1145.876,1251.246,1291.759,1076.907,1086.965,1136.142,1241.769,1216.632,1274.28,1365.716,1459.186,1556.988,1663.3
Bhutan,307.957,323.738,331.996,350.04,353.646,356.027,389.913,456.239,506.507,493.323,524.929,455.209,451.704,480.266,494.125,581.144,606.11,668.031,715.848,730.512,773.491,783.204,842.667,932.757,1056.226,1171.862,1288.486,1501.905,1865.177,1721.428,1998.765,2382.108,2445.204,2451.849,2387.788,2604.806,2680.464,2937.511,3160.058,3423.052,3533.204,3786.918,4028.307,4310.651,4593.283
Bolivia,695.535,615.66,668.55,619.896,631.152,668.921,640.939,683.624,712.146,715.525,723.42,777.891,804.735,795.05,804.712,885.679,955.574,1005.873,1057.72,1010.58,1005.409,959.844,914.958,918.468,979.59,1049.064,1240.94,1399.8,1749.2,1789.604,1994.911,2394.789,2664.571,2920.52,3096.838,3050.646,3094.991,3368.756,3565.498,3670.959,3860.622,4090.246,4354.61,4644.584,4983.391
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,947.953,1220.09,1408.122,1533.908,1474.45,1533.616,1777.342,2242.967,2686.001,2891.677,3296.751,4060.061,4971.824,4697.839,4611.347,5050.025,4716.643,5036.032,5194.014,4584.264,4808.299,5155.553,5754.74,5741.758,6009.572,6322.157,6662.604,7037.406,7468.044
Botswana,1199.223,1039.432,1057.51,1126.868,1079.237,968.951,1267.145,1915.113,2398.684,2584.231,2750.806,2673.588,2684.209,2629.778,2755.722,2984.191,3006.151,3025.699,2841.934,3173.687,3301.212,3090.261,3017.716,4119.412,4840.806,5338.237,5352.865,5676.255,5641.182,5183.686,6374.994,7503.961,7710.797,7007.253,7497.701,6538.616,6958.336,7584.05,7973.135,7859.18,8116.17,8453.235,8584.925,8725.099,8863.208
Brazil,1229.447,1382.058,1445.715,1134.529,1105.46,1718.904,1954.375,2086.704,2288.611,3086.832,3105.013,2676.886,2522.84,2786.175,3493.998,4950.659,5200.105,5323.82,5128.338,3502.751,3771.94,3177.826,2853.565,3086.086,3655.333,4814.67,5914.448,7385.312,8873.149,8641.608,11327.368,13295.656,12426.577,12357.396,12175.962,8845.674,8751.177,9926.291,8958.576,8796.909,8955.65,9344.111,9737.998,10167.442,10606.458
